[240-560] Foreign.
[5760-6120] Fans,
[6120-6320] it's
[6320-6720] Michelle
[6720-7000] Joy
[7000-7360] Phelps
[7360-7640] with
[7640-7920] Fight
[7920-8280] Hub
[8280-8520] tv.
[8520-8640] And
[8640-8800] I'm
[8800-9080] joined
[9080-9360] now
[9360-9680] with
[9680-9960] the
[9960-10160] one
[10160-10360] and
[10360-10640] only
[10720-11360] Jesse
[11360-11800] Bam
[11800-12560] Rodriguez.
[12720-13000] It
[13000-13160] is
[13160-13280] so
[13280-13400] good
[13400-13520] to
[13520-13640] see
[13640-13920] you.
[14480-14880] Last
[14880-15240] time
[15240-15600] I
[15760-16360] briefly
[16360-16560] got
[16560-16720] a
[16720-17000] moment
[17000-17160] to
[17160-17360] speak
[17360-17440] with
[17440-17600] you
[17600-17840] was
[17840-18080] after
[18080-18280] your
[18280-18440] win
[18440-18600] in
[18600-19280] Riyadh.
[19360-19600] How
[19600-19720] have
[19720-19840] you
[19840-20080] been?
[20080-20440] I've
[20440-20560] been
[20560-20760] good.
[20760-21000] Just
[21000-21160] been
[21160-21320] at
[21320-21480] home
[21480-21880] relaxing
[21880-22040] with
[22040-22200] my
[22200-22480] family.
[22560-22840] My
[22840-23280] newborn
[23280-23680] son,
[24160-24440] my
[24440-24800] daughter
[24800-25120] is
[25120-25320] two
[25320-25440] years
[25440-25600] old
[25600-25920] now.
[25920-26200] Just
[26200-26480] been
[26560-26960] spending
[26960-27040] a
[27040-27160] lot
[27160-27280] of
[27280-27400] time
[27400-27560] with
[27560-27760] her,
[27760-28160] bonding
[28160-28280] with
[28280-28520] her
[28520-28760] a
[28760-28960] lot
[28960-29280] more.
[29940-30020] So,
[30020-30260] yeah,
[30260-30460] just
[30460-30620] been
[30620-30900] good
[31300-31580] with
[31580-31740] my
[31740-32100] girlfriend
[32100-32220] as
[32220-32460] well.
[32460-32820] Just
[32820-33420] enjoying
[33420-33660] time
[33660-33940] back
[33940-34220] home
[34220-34580] and
[35300-35740] finally
[35740-35900] back
[35900-36060] to
[36060-36300] work.
[36300-36740] Yeah.
[36740-37060] Family
[37060-37380] time.
[37540-37860] Family
[37860-38100] time
[38100-38300] all
[38300-38420] the
[38420-38660] time.
[38660-38980] Did
[38980-39300] you
[39860-40180] find
[40180-40540] yourself,
[40540-40700] or
[40700-40820] do
[40820-40940] you
[40940-41140] find
[41140-41620] yourself
[41780-42220] becoming
[42220-42500] a
[42500-42780] little
[42780-43140] bit
[43620-44020] different
[44340-44740] with,
[45620-45900] you
[45900-46180] know,
[46340-46620] a
[46620-46980] baby
[46980-47300] now?
[48340-48660] For
[48660-48940] sure,
[48940-49340] yeah.
[49340-49580] I
[49580-49780] mean,
[49780-50060] I
[50060-50500] matured
[50500-50660] a
[50660-50860] whole
[50860-51140] lot,
[51300-51820] mentally
[51820-52060] more
[52060-52260] than
[52260-52740] anything.
[54020-54340] My
[54340-54620] kids
[54620-54780] and
[54780-54940] my
[54940-55340] girlfriend,
[55340-55620] they
[55900-56020] keep
[56020-56140] my
[56140-56300] mind
[56300-56660] steady,
[56660-56820] keep
[56820-56980] my
[56980-57180] mind
[57180-57580] busy.
[57580-57900] So
[58380-58780] just
[60460-60820] wanting
[60820-60980] to
[60980-61220] provide
[61220-61460] a
[61460-61660] better
[61660-61860] life
[61860-62020] for
[62020-62260] them
[62260-62540] just
[62540-62780] makes
[62780-63020] me
[63020-63500] mature
[63740-63980] a
[63980-64140] lot
[64140-64380] more
[64380-64580] and
[64580-64780] just
[64780-64980] make
[64980-65180] better
[65180-65820] decisions.
[66060-66540] Yeah.
[66940-67220] Well,
[67220-67380] you
[67380-67580] re
[67580-68140] signed
[68140-68500] with
[68500-69220] Matchroom.
[69220-69460] I
[69460-69700] wanted
[69700-69820] to
[69820-69980] ask
[69980-70220] you
[70220-70460] just
[70460-70740] because,
[70740-71220] obviously
[71220-71460] I'm
[71460-71780] hearing
[71780-72019] from
[72019-72180] a
[72180-72300] lot
[72300-72460] of
[72460-72940] fighters
[73020-73420] that
[73820-74180] you
[74180-74460] are
[74460-74740] seeing
[74740-74860] that
[74860-75100] they're
[75100-75340] being
[75340-76060] approached
[76140-76500] by
[76500-77180] Zufa.
[77180-77380] Were
[77380-77580] you,
[77580-77780] in
[77780-78060] fact,
[78140-78780] approached
[78780-79020] by
[79020-79340] them?
[79420-79820] And
[81580-81860] I
[81860-82140] was,
[82140-82540] but
[82540-82820] like
[82820-82940] you
[82940-83180] said,
[83180-83500] we've
[83500-83820] resigned
[83820-83940] with
[83940-84460] Matchum,
[84460-84700] and
[84700-84940] we're
[84940-85220] happy
[85220-85380] where
[85380-85580] we're
[85580-85820] at,
[85820-86220] so
[87030-87150] just
[87150-87430] expect
[87510-87830] more.
[87830-88110] Bigger
[88110-88430] fights,
